old_name,new_name
TFT_Item_BrambleVest,Bramble_Vest
TFT_Item_ChainVest,Chain_Vest
TFT_Item_Chalice,Chalice
TFT_Item_Crownguard,Crownguard
TFT_Item_Deathblade,Deathblade
TFT_Item_DragonsClaw,Dragons_Claw
TFT_Item_EmptyBag,Empty_Bag
TFT_Item_ForceOfNature,Tactician's_Crown
TFT_Item_FrozenHeart,Protector's_Vow
TFT_Item_FryingPan,Frying_Pan
TFT_Item_GargoyleStoneplate,Gargoyle_Stoneplate
TFT_Item_GiantsBelt,Giant's_Belt
TFT_Item_GuardianAngel,Edge_Of_Night
TFT_Item_GuinsoosRageblade,Guinsoos_Rageblade
TFT_Item_HextechGunblade,Hextech_Gunblade
TFT_Item_InfinityEdge,Infinity_Edge
TFT_Item_IonicSpark,Ionic_Spark
TFT_Item_JeweledGauntlet,Jeweled_Gauntlet
TFT_Item_LastWhisper,Last_Whisper
TFT_Item_Leviathan,Steadfast_Heart
TFT_Item_LocketOfTheIronSolari,LocketOfTheIronSolari
TFT_Item_MadredsBloodrazor,MadredsBloodrazor
TFT_Item_Moonstone,Moonstone
TFT_Item_Morellonomicon,Morellonomicon
TFT_Item_NeedlesslyLargeRod,NeedlesslyLargeRod
TFT_Item_NegatronCloak,NegatronCloak
TFT_Item_NightHarvester,NightHarvester
TFT_Item_PowerGauntlet,PowerGauntlet
TFT_Item_Quicksilver,Quicksilver
TFT_Item_RabadonsDeathcap,RabadonsDeathcap
TFT_Item_RadiantVirtue,RadiantVirtue
TFT_Item_RapidFireCannon,RapidFireCannon
TFT_Item_RecurveBow,RecurveBow
TFT_Item_RedBuff,RedBuff
TFT_Item_Redemption,Redemption
TFT_Item_RunaansHurricane,RunaansHurricane
TFT_Item_SparringGloves,SparringGloves
TFT_Item_Spatula,Spatula
TFT_Item_SpearOfShojin,SpearOfShojin
TFT_Item_SpectralGauntlet,SpectralGauntlet
TFT_Item_StatikkShiv,StatikkShiv
TFT_Item_SteraksGage,SteraksGage
TFT_Item_TacticiansRing,TacticiansRing
TFT_Item_TacticiansScepter,TacticiansScepter
TFT_Item_TearOfTheGoddess,TearOfTheGoddess
TFT_Item_ThiefsGloves,ThiefsGloves
TFT_Item_TitansResolve,TitansResolve
TFT_Item_UnstableConcoction,UnstableConcoction
TFT_Item_WarmogsArmor,WarmogsArmor
TFT_Item_ZekesHerald,ZekesHerald
TFT_Item_Zephyr,Zephyr
